section	dup	bytes	file	alt
transport	0	431306	transport-20-运输车辆内的宠物笼位.jpg	运输车辆内的宠物笼位
transport	1	431306	transport-20-运输车辆内的宠物笼位.jpg	宠物笼位
transport	0	591258	transport-21-带固定笼位的专业宠物运输车.jpg	带固定笼位的专业宠物运输车
transport	1	591258	transport-21-带固定笼位的专业宠物运输车.jpg	专业运输车
transport	0	221297	transport-22-宠物运输车笼位内部.jpg	宠物运输车笼位内部
transport	1	221297	transport-22-宠物运输车笼位内部.jpg	笼位内部
transport	0	206520	transport-23-宠物陆运订单的定位与车厢监控.jpg	宠物陆运订单的定位与车厢监控
transport	1	206520	transport-23-宠物陆运订单的定位与车厢监控.jpg	定位和监控
transport	0	423854	transport-24-人宠共同乘坐跨城商务车.jpg	人宠共同乘坐跨城商务车
transport	1	423854	transport-24-人宠共同乘坐跨城商务车.jpg	人宠同行商务车
transport	0	430115	transport-25-多人和宠物共同乘坐跨城车辆.jpg	多人和宠物共同乘坐跨城车辆
transport	1	430115	transport-25-多人和宠物共同乘坐跨城车辆.jpg	多人宠同行
air-solution	0	2769162	air-solution-26-飞机携宠出行设计方案-覆盖首页-托运方式说明-检疫代办-航班与服务选择-下单-订.png	飞机携宠出行设计方案，覆盖首页、托运方式说明、检疫代办、航班与服务选择、下单、订单和订单详情
rail	0	639942	rail-27-12306-爱宠行从入口-仓位查询到购买人票和提交订单的完整链路.jpg	12306 爱宠行从入口、仓位查询到购买人票和提交订单的完整链路
rail	0	491903	rail-28-携程-去哪儿-智行和同程的高铁宠物托运服务与预订衔接对比.jpg	携程、去哪儿、智行和同程的高铁宠物托运服务与预订衔接对比
rail-solution	0	356173	rail-solution-29-高铁宠物托运流程调优-从仓位查询到人票购买-宠物票申请与支付的完整链路.png	高铁宠物托运流程调优：从仓位查询到人票购买、宠物票申请与支付的完整链路
rail-solution	0	4500273	rail-solution-30-高铁携宠出行设计方案-覆盖仓位查询-乘客票-宠物票申请与出票流程.png	高铁携宠出行设计方案，覆盖仓位查询、乘客票、宠物票申请与出票流程
land	0	601737	land-31-滴滴宠物档案支持的类型.png	滴滴宠物档案支持的类型
land	0	490301	land-32-滴滴宠物快送页面.png	滴滴宠物快送页面
land	0	154645	land-33-10kg以内服务商报价.jpg	10kg以内服务商报价
land-solution	0	3196008	land-solution-34-陆运携宠出行设计方案-覆盖路线输入-服务商选择-订单确认与支付流程.png	陆运携宠出行设计方案，覆盖路线输入、服务商选择、订单确认与支付流程
hotel-survey	0	188007	hotel-survey-35-花间堂宠物订单占比-订单量增长-宠物类型与出行方式四组数据.png	花间堂宠物订单占比、订单量增长、宠物类型与出行方式四组数据
hotel-findings	0	76257	hotel-findings-36-清洁费按每间每次与每只每晚两种计费方式的总支出对比表.png	清洁费按每间每次与每只每晚两种计费方式的总支出对比表
supply-close	0	2833006	supply-close-37-玩小伴微信小程序的宠物酒店特价房券-房型与宠物保险页面.jpg	玩小伴微信小程序的宠物酒店特价房券、房型与宠物保险页面
supply-close	0	2748341	supply-close-38-FunGo-微信小程序的宠物友好标签与房型详情页面.jpg	FunGo 微信小程序的宠物友好标签与房型详情页面
supply-close	0	1507364	supply-close-39-携程宠物筛选-酒店政策与宠物收费展示.jpg	携程宠物筛选、酒店政策与宠物收费展示
supply-close	0	2083379	supply-close-40-飞猪宠物友好筛选与宠物政策展示.jpg	飞猪宠物友好筛选与宠物政策展示
supply-close	0	758321	supply-close-41-美团宠物筛选与宠物政策展示.jpg	美团宠物筛选与宠物政策展示
supply-close	0	1130883	supply-close-42-Booking-准许携带宠物筛选与宠物费用说明.jpg	Booking 准许携带宠物筛选与宠物费用说明
supply-close	0	140670	supply-close-43-携程宠物标签体系-收费携带宠物-免费携带宠物-可携带宠物-狗狗友好-猫猫友好.png	携程宠物标签体系：收费携带宠物、免费携带宠物、可携带宠物、狗狗友好、猫猫友好
supply-close	0	1618840	supply-close-44-携程宠游会频道-宠物档案-友好景点-友好酒店与宠物托运入口.jpg	携程宠游会频道：宠物档案、友好景点、友好酒店与宠物托运入口
supply-close	0	703144	supply-close-45-大众点评必住榜-2025-的宠物友好标签.jpg	大众点评必住榜 2025 的宠物友好标签
supply-close	0	404822	supply-close-46-猫途鹰旅行者之选曼谷宠物友好酒店榜.jpg	猫途鹰旅行者之选曼谷宠物友好酒店榜
hotel-solution	0	8895265	hotel-solution-47-酒店宠物档案设计方案-覆盖证件上传-AI图片识别和档案填写.png	酒店宠物档案设计方案，覆盖证件上传、AI图片识别和档案填写
hotel-solution	0	10723414	hotel-solution-48-宠物友好酒店设计方案-覆盖自动筛选-酒店详情-宠物政策与设施详情.png	宠物友好酒店设计方案，覆盖自动筛选、酒店详情、宠物政策与设施详情
granularity	0	125079	granularity-49-动物检疫合格证明示例.jpg	动物检疫合格证明示例
value	0	9148	value-50-飞猪宠物旅行.png	飞猪宠物旅行
value	0	3645544	value-51-手续帮你办服务海报.png	手续帮你办服务海报
value	0	3291585	value-52-同舱更安心服务海报.png	同舱更安心服务海报
value	0	3177363	value-53-带宠放心住服务海报.png	带宠放心住服务海报
value	0	3522718	value-54-一站下单全搞定服务海报.png	一站下单全搞定服务海报
opportunity	0	1117657	opportunity-55-宠物旅行一站式服务机会象限-资质与服务能力突破-信息整合能力.png	宠物旅行一站式服务机会象限：资质与服务能力突破、信息整合能力
